Brand,Model,Range_Km
Tesla ,Roadster ,970
Tesla ,Cybertruck Tri Motor,750
Tesla ,Model S Long Range,515
Tesla ,Model S Performance,505
Tesla ,Cybertruck Dual Motor,460
Tesla ,Model 3 Long Range Dual Motor,450
BMW ,i4 ,450
Tesla ,Model X Long Range,450
Ford ,Mustang Mach-E ER RWD,450
Volkswagen ,ID.3 Pro S,440
Tesla ,Model X Performance,440
Tesla ,Model 3 Long Range Performance,435
Ford ,Mustang Mach-E ER AWD,430
Tesla ,Model Y Long Range Dual Motor,425
Audi ,e-tron GT ,425
Porsche ,Taycan 4S Plus,425
Volkswagen ,ID.4 ,420
Nissan ,Ariya e-4ORCE 87kWh,420
Tesla ,Model Y Long Range Performance,410
Audi ,Q4 Sportback e-tron ,410
Audi ,Q4 e-tron ,400
Porsche ,Taycan Turbo,390
Tesla ,Cybertruck Single Motor,390
Porsche ,Taycan Cross Turismo ,385
Audi ,e-tron Sportback 55 quattro,380
Porsche ,Taycan Turbo S,375
Volvo ,XC40 P8 AWD Recharge,375
Mercedes ,EQC 400 4MATIC,370
Kia ,e-Niro 64 kWh,370
Kia ,e-Soul 64 kWh,365
Porsche ,Taycan 4S,365
Audi ,e-tron 55 quattro,365
BMW ,iX3 ,360
Ford ,Mustang Mach-E SR RWD,360
Volkswagen ,ID.3 Pro,350
Mercedes ,EQA ,350
Ford ,Mustang Mach-E SR AWD,340
Volkswagen ,ID.3 1st,340
Volkswagen ,ID.3 Pro Performance,340
Audi ,e-tron S Sportback 55 quattro,335
Mercedes ,EQV 300 Long,330
Audi ,e-tron S 55 quattro,320
Tesla ,Model 3 Standard Range Plus,310
Audi ,e-tron Sportback 50 quattro,295
Audi ,e-tron 50 quattro,280
Volkswagen ,ID.3 Pure,270
Lexus ,UX 300e,270
BMW ,i3 120 Ah,235
Kia ,e-Niro 39 kWh,235
BMW ,i3s 120 Ah,230
Kia ,e-Soul 39 kWh,230
Volkswagen ,e-Up! ,195
Volkswagen ,e-Golf ,190
Mazda ,MX-30 ,180
Honda ,e ,170
Honda ,e Advance,170